path,name,value
effect/assist/alucard/ef_alucard.eff,ALUCARD_SLASH,256
effect/assist/alucard/ef_alucard.eff,ALUCARD_SLASH_FINISH,256
effect/assist/alucard/ef_alucard.eff,ALUCARD_TRANSFORM,0
effect/assist/alucard/ef_alucard.eff,ALUCARD_TRANSFORM_MOVE,0
effect/assist/alucard/ef_alucard.eff,ALUCARD_TRANSFORM_END,0
effect/assist/alucard/ef_alucard.eff,ALUCARD_MIST,576
effect/assist/alucard/ef_alucard.eff,ALUCARD_MIST_END,64
effect/assist/alucard/ef_alucard.eff,ALUCARD_BACKDASH,0
effect/assist/ashley/ef_ashley.eff,ASHLEY_DARKZONE_AS,256
effect/assist/ashley/ef_ashley.eff,ASHLEY_STICK_FRALE,0
effect/assist/ashley/ef_ashley.eff,ASHLEY_STICK_TRACE,0
effect/assist/ashley/ef_ashley.eff,ASHLEY_STICK_FLASH,0
effect/assist/baito/ef_baito.eff,BAITO_WOW,0
effect/assist/baito/ef_baito.eff,BAITO_HUMMING,0
effect/assist/baito/ef_baito.eff,BAITO_HANDCLAP,0
effect/assist/bomberman/ef_bomberman.eff,BOMBERMAN_BOMB,256
effect/assist/bomberman/ef_bomberman.eff,BOMBERMAN_BOMB_FINISH,0
effect/assist/bomberman/ef_bomberman.eff,BOMBERMAN_FUSE,0
effect/assist/bomberman/ef_bomberman.eff,BOMBERMAN_REMOCON,0
effect/assist/claptrap/ef_claptrap.eff,CLAPTRAP_ATTACK_FINISH,0
effect/assist/cyborg/ef_cyborg.eff,CYBORG_EYE,0
effect/assist/cyborg/ef_cyborg.eff,CYBORG_SLASH1,256
effect/assist/cyborg/ef_cyborg.eff,CYBORG_SWORD,0
effect/assist/darkknight/ef_darkknight.eff,DARKKNIGHT_SWORD,0
effect/assist/darkknight/ef_darkknight.eff,DARKKNIGHT_SMOKE,0
effect/assist/devil/ef_devil.eff,DEVIL_SMORK,0
effect/assist/dossun/ef_dossun.eff,DOSSUN_SPEED_LINE,0
effect/assist/dossun/ef_dossun.eff,DOSSUN_OUT,0
effect/assist/dossun/ef_dossun.eff,DOSSUN_IN,0
effect/assist/driver/ef_driver.eff,DRIVER_WARPSMOKE,0
effect/assist/driver/ef_driver.eff,DRIVER_GAS,0
effect/assist/driver/ef_driver.eff,DRIVER_GAS_LOOP,0
effect/assist/driver/ef_driver.eff,DRIVER_CATCH_LOAD,0
effect/assist/driver/ef_driver.eff,DRIVER_CATCH_STAR,0
effect/assist/driver/ef_driver.eff,DRIVER_CATCH_TURN,0
effect/assist/driver/ef_driver.eff,DRIVER_CATCH_LOAD_MISS,0
effect/assist/driver/ef_driver.eff,DRIVER_CATCH_TURN_MISS,0
effect/assist/driver/ef_driver.eff,DRIVER_CATCH,0
effect/assist/driver/ef_driver.eff,DRIVER_CAPTURE,0
effect/assist/driver/ef_driver.eff,DRIVER_ESCAPE,0
effect/assist/eleka/ef_eleka.eff,ELEKA_SPEAD_SHOT,256
effect/assist/eleka/ef_eleka.eff,ELEKA_DIFFUSION_SHOT,256
effect/assist/eleka/ef_eleka.eff,ELEKA_BIG_SHOT,256
effect/assist/eleka/ef_eleka.eff,ELEKA_BIG_SHOT_MUZ,0
effect/assist/eleka/ef_eleka.eff,ELEKA_TELEPORT_OUT,0
effect/assist/eleka/ef_eleka.eff,ELEKA_TELEPORT_IN,0
effect/assist/ghirahim/ef_ghirahim.eff,GHIRAHIM_DASH_AC,0
effect/assist/ghirahim/ef_ghirahim.eff,GHIRAHIM_SHOTS_AC,0
effect/assist/ghirahim/ef_ghirahim.eff,GHIRAHIM_SHOT_AC,256
effect/assist/ghirahim/ef_ghirahim.eff,GHIRAHIM_TELEPORT_OUT_AC,0
effect/assist/ghirahim/ef_ghirahim.eff,GHIRAHIM_TELEPORT_IN_AC,0
effect/assist/goroh/ef_goroh.eff,GOROH_WIND,256
effect/assist/guile/ef_guile.eff,GUILE_SONICBOOM,256
effect/assist/guile/ef_guile.eff,GUILE_SONICMUZ,0
effect/assist/guile/ef_guile.eff,GUILE_SONICMUZ_FLIP,0
effect/assist/guile/ef_guile.eff,GUILE_SUMMERSAULT,256
effect/assist/hebigarasu/ef_hebigarasu.eff,HEBIGARASU_SMOKE,0
effect/assist/hebigarasu/ef_hebigarasu.eff,HEBIGARASU_DIVE_SMOKE,0
effect/assist/hebigarasu/ef_hebigarasu.eff,HEBIGARASU_ATTACK,256
effect/assist/hebigarasu/ef_hebigarasu.eff,HEBIGARASU_STUN,0
effect/assist/hebigarasu/ef_hebigarasu.eff,HEBIGARASU_EMERGENCY,0
effect/assist/jeff/ef_jeff.eff,JEFF_ROCKETSMORK,512
effect/assist/jeff/ef_jeff.eff,JEFF_SWEAT,0
effect/assist/jeff/ef_jeff.eff,JEFF_ROCKETSMORKLAST,0
effect/assist/jeff/ef_jeff.eff,JEFF_SPARK,0
effect/assist/jiro/ef_jiro.eff,JIRO_N_SPIN,256
effect/assist/jiro/ef_jiro.eff,JIRO_N_SPIN_DASH,256
effect/assist/jiro/ef_jiro.eff,JIRO_N_DASH_ONE,4194309
